,road,idx,lrp,lat,lon
159306,N106,181,LRP052a,22.6188049,92.1027778
159322,N2,181,LRP069a,24.0576111,90.9612222
159334,N3,181,LRP076d,24.4509167,90.3826104
159338,N4,181,LRP072b,24.3423052,89.9259993
159347,N5,181,LRP060b,23.8541111,89.9259716
159356,N509,181,LRP093a,26.3463886,89.0219993
159368,N6,181,LRP096a,24.3918608,89.0344441
159373,N7,181,LRP072,23.5121667,89.45922220000001
159388,N8,181,LRP073,23.3531111,89.9996663
159393,N805,181,LRP060a,23.0563333,89.7704993
159403,R140,181,LRP078,23.1513889,90.7250827
159413,R160,181,LRP072a,23.0447497,91.8755271
159414,R161,181,LRP062c,22.2070833,92.2142778
